date,datatype,station,attributes,value
2018-01-13T00:00:00,RHMN,GHCND:USW00013781,",,W,",44.0
2018-01-13T00:00:00,RHMX,GHCND:USW00013781,",,W,",100.0
2018-01-13T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-13T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
2018-01-13T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",139.0
2018-01-13T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-71.0
2018-01-13T00:00:00,WDF2,GHCND:USW00013781,",,W,",310.0
2018-01-13T00:00:00,WDF5,GHCND:USW00013781,",,W,",310.0
2018-01-13T00:00:00,WSF2,GHCND:USW00013781,",,W,",143.0
2018-01-13T00:00:00,WSF5,GHCND:USW00013781,",,W,",183.0
2018-01-13T00:00:00,WT01,GHCND:USW00013781,",,W,",1.0
2018-01-13T00:00:00,WT02,GHCND:USW00013781,",,W,",1.0
2018-01-14T00:00:00,ADPT,GHCND:USW00013781,",,W,",-161.0
2018-01-14T00:00:00,ASLP,GHCND:USW00013781,",,W,",10369.0
2018-01-14T00:00:00,ASTP,GHCND:USW00013781,",,W,",10325.0
2018-01-14T00:00:00,AWBT,GHCND:USW00013781,",,W,",-94.0
2018-01-14T00:00:00,AWND,GHCND:USW00013781,",,W,",47.0
2018-01-14T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-14T00:00:00,RHAV,GHCND:USW00013781,",,W,",51.0
2018-01-14T00:00:00,RHMN,GHCND:USW00013781,",,W,",35.0
2018-01-14T00:00:00,RHMX,GHCND:USW00013781,",,W,",67.0
2018-01-14T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-14T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
2018-01-14T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",-32.0
2018-01-14T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-105.0
2018-01-14T00:00:00,WDF2,GHCND:USW00013781,",,W,",330.0
2018-01-14T00:00:00,WDF5,GHCND:USW00013781,",,W,",330.0
2018-01-14T00:00:00,WSF2,GHCND:USW00013781,",,W,",94.0
2018-01-14T00:00:00,WSF5,GHCND:USW00013781,",,W,",130.0
2018-01-15T00:00:00,ADPT,GHCND:USW00013781,",,W,",-94.0
2018-01-15T00:00:00,ASLP,GHCND:USW00013781,",,W,",10352.0
2018-01-15T00:00:00,ASTP,GHCND:USW00013781,",,W,",10322.0
2018-01-15T00:00:00,AWBT,GHCND:USW00013781,",,W,",-56.0
2018-01-15T00:00:00,AWND,GHCND:USW00013781,",,W,",37.0
2018-01-15T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-15T00:00:00,RHAV,GHCND:USW00013781,",,W,",67.0
2018-01-15T00:00:00,RHMN,GHCND:USW00013781,",,W,",57.0
2018-01-15T00:00:00,RHMX,GHCND:USW00013781,",,W,",82.0
2018-01-15T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-15T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
2018-01-15T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",0.0
2018-01-15T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-88.0
2018-01-15T00:00:00,WDF2,GHCND:USW00013781,",,W,",40.0
2018-01-15T00:00:00,WDF5,GHCND:USW00013781,",,W,",20.0
2018-01-15T00:00:00,WSF2,GHCND:USW00013781,",,W,",63.0
2018-01-15T00:00:00,WSF5,GHCND:USW00013781,",,W,",81.0
2018-01-16T00:00:00,ADPT,GHCND:USW00013781,",,W,",-17.0
2018-01-16T00:00:00,ASLP,GHCND:USW00013781,",,W,",10305.0
2018-01-16T00:00:00,ASTP,GHCND:USW00013781,",,W,",10278.0
2018-01-16T00:00:00,AWBT,GHCND:USW00013781,",,W,",0.0
2018-01-16T00:00:00,AWND,GHCND:USW00013781,",,W,",21.0
2018-01-16T00:00:00,PRCP,GHCND:USW00013781,"T,,W,2400",0.0
2018-01-16T00:00:00,RHAV,GHCND:USW00013781,",,W,",81.0
2018-01-16T00:00:00,RHMN,GHCND:USW00013781,",,W,",67.0
2018-01-16T00:00:00,RHMX,GHCND:USW00013781,",,W,",92.0
2018-01-16T00:00:00,SNOW,GHCND:USW00013781,"T,,W,",0.0
2018-01-16T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
2018-01-16T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",56.0
2018-01-16T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-16.0
2018-01-16T00:00:00,WDF2,GHCND:USW00013781,",,W,",170.0
2018-01-16T00:00:00,WDF5,GHCND:USW00013781,",,W,",170.0
2018-01-16T00:00:00,WSF2,GHCND:USW00013781,",,W,",63.0
2018-01-16T00:00:00,WSF5,GHCND:USW00013781,",,W,",76.0
2018-01-16T00:00:00,WT01,GHCND:USW00013781,",,W,",1.0
2018-01-17T00:00:00,ADPT,GHCND:USW00013781,",,W,",-67.0
2018-01-17T00:00:00,ASLP,GHCND:USW00013781,",,W,",10261.0
